Root,Root,Root,Root,Hips,Hips,Hips,Hips,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftShin,LeftShin,LeftShin,LeftShin,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftToe,LeftToe,LeftToe,LeftToe,LeftToeTip,LeftToeTip,LeftToeTip,LeftToeTip,RightThigh,RightThigh,RightThigh,RightThigh,RightShin,RightShin,RightShin,RightShin,RightFoot,RightFoot,RightFoot,RightFoot,RightToe,RightToe,RightToe,RightToe,RightToeTip,RightToeTip,RightToeTip,RightToeTip,Spine1,Spine1,Spine1,Spine1,Spine2,Spine2,Spine2,Spine2,Spine3,Spine3,Spine3,Spine3,Spine4,Spine4,Spine4,Spine4,LeftShoulder,LeftShoulder,LeftShoulder,LeftShoulder,LeftArm,LeftArm,LeftArm,LeftArm,LeftForeArm,LeftForeArm,LeftForeArm,LeftForeArm,LeftHand,LeftHand,LeftHand,LeftHand,Neck,Neck,Neck,Neck,Head,Head,Head,Head,RightShoulder,RightShoulder,RightShoulder,RightShoulder,RightArm,RightArm,RightArm,RightArm,RightForeArm,RightForeArm,RightForeArm,RightForeArm,RightHand,RightHand,RightHand,RightHand
6.657903E-08,0,0,1,0.008998683,0.00205146,0.003933312,0.9999497,0.003019391,-0.7096676,-0.007998197,-0.7044848,-0.04410604,-0.7083022,-0.05475505,-0.7023992,0.03781851,0.7057606,-0.706345,0.03935422,0.03774928,0.7070003,-0.7051041,0.0394207,0.03774928,0.7070003,-0.7051041,0.0394207,-0.008334612,-0.7238436,0.002653723,0.6899087,0.04223438,-0.7227308,-0.04553054,0.688334,-0.03037585,0.7066928,-0.7065513,-0.02117133,-0.03033882,0.7079281,-0.7053135,-0.02122451,-0.03033882,0.7079281,-0.7053135,-0.02122451,0.00369422,-0.005636047,0.9999753,-0.002049283,0.005336942,-0.002273254,0.9999832,-0.0001651397,0.006984476,0.001099618,0.9999736,0.001724631,0.006984476,0.001099618,0.9999736,0.001724631,-0.08329497,0.0748768,0.6991542,-0.7061437,0.01010873,0.6463767,-0.01210903,0.7628555,-0.04165337,0.7137291,-0.06221591,0.6964088,-0.03793703,0.8006014,-0.1097315,0.5878413,0.02269707,-0.02402911,0.9993961,0.01071128,0.03838786,-0.0491348,0.99786,0.01968766,0.09718792,0.09626941,0.6905392,0.7102411,0.03518491,-0.6198081,0.005827366,0.7839424,-0.02158649,-0.6819789,0.04294399,0.7297909,-0.0109614,-0.7511168,0.1379895,0.6454936
6.657903E-08,0,0,1,0.008998683,0.00205146,0.003933312,0.9999497,0.003019391,-0.7096676,-0.007998197,-0.7044848,-0.04410604,-0.7083022,-0.05475505,-0.7023992,0.03781851,0.7057606,-0.706345,0.03935422,0.03774928,0.7070003,-0.7051041,0.0394207,0.03774928,0.7070003,-0.7051041,0.0394207,-0.008334612,-0.7238436,0.002653723,0.6899087,0.04223438,-0.7227308,-0.04553054,0.688334,-0.03037585,0.7066928,-0.7065513,-0.02117133,-0.03033882,0.7079281,-0.7053135,-0.02122451,-0.03033882,0.7079281,-0.7053135,-0.02122451,0.00369422,-0.005636047,0.9999753,-0.002049283,0.005336942,-0.002273254,0.9999832,-0.0001651397,0.006984476,0.001099618,0.9999736,0.001724631,0.006984476,0.001099618,0.9999736,0.001724631,-0.08329497,0.0748768,0.6991542,-0.7061437,0.01010873,0.6463767,-0.01210903,0.7628555,-0.04165337,0.7137291,-0.06221591,0.6964088,-0.03793703,0.8006014,-0.1097315,0.5878413,0.02269707,-0.02402911,0.9993961,0.01071128,0.03838786,-0.0491348,0.99786,0.01968766,0.09718792,0.09626941,0.6905392,0.7102411,0.03518491,-0.6198081,0.005827366,0.7839424,-0.02158649,-0.6819789,0.04294399,0.7297909,-0.0109614,-0.7511168,0.1379895,0.6454936
6.657903E-08,0,0,1,0.008998683,0.00205146,0.003933312,0.9999497,0.003019391,-0.7096676,-0.007998197,-0.7044848,-0.04410604,-0.7083022,-0.05475505,-0.7023992,0.03781851,0.7057606,-0.706345,0.03935422,0.03774928,0.7070003,-0.7051041,0.0394207,0.03774928,0.7070003,-0.7051041,0.0394207,-0.008334612,-0.7238436,0.002653723,0.6899087,0.04223438,-0.7227308,-0.04553054,0.688334,-0.03037585,0.7066928,-0.7065513,-0.02117133,-0.03033882,0.7079281,-0.7053135,-0.02122451,-0.03033882,0.7079281,-0.7053135,-0.02122451,0.00369422,-0.005636047,0.9999753,-0.002049283,0.005336942,-0.002273254,0.9999832,-0.0001651397,0.006984476,0.001099618,0.9999736,0.001724631,0.006984476,0.001099618,0.9999736,0.001724631,-0.08329497,0.0748768,0.6991542,-0.7061437,0.01010873,0.6463767,-0.01210903,0.7628555,-0.04165337,0.7137291,-0.06221591,0.6964088,-0.03793703,0.8006014,-0.1097315,0.5878413,0.02269707,-0.02402911,0.9993961,0.01071128,0.03838786,-0.0491348,0.99786,0.01968766,0.09718792,0.09626941,0.6905392,0.7102411,0.03518491,-0.6198081,0.005827366,0.7839424,-0.02158649,-0.6819789,0.04294399,0.7297909,-0.0109614,-0.7511168,0.1379895,0.6454936
6.657903E-08,0,0,1,0.009148846,0.002197043,0.003883192,0.9999482,-0.0008260034,-0.7098649,-0.01195385,-0.7042359,-0.04018097,-0.7087275,-0.05097976,-0.7024899,0.03763901,0.7057219,-0.7063975,0.03927651,0.03756995,0.7069615,-0.7051567,0.03934247,0.03756995,0.7069615,-0.7051567,0.03934247,-0.004781212,-0.7236266,-0.0004201738,0.690175,0.03869242,-0.7226679,-0.04187481,0.6888401,-0.03021596,0.7066727,-0.7065823,-0.02102386,-0.03017911,0.7079081,-0.7053445,-0.02107675,-0.03017911,0.7079081,-0.7053445,-0.02107675,0.003831199,-0.005807768,0.9999737,-0.002026008,0.005465318,-0.002466532,0.9999821,-0.0001687133,0.007104221,0.0008847212,0.999973,0.001694129,0.007104221,0.0008847212,0.999973,0.001694129,-0.0832845,0.07471407,0.6992521,-0.7060652,0.01028676,0.6463757,-0.01186402,0.762858,-0.04164105,0.7138411,-0.06221441,0.6962951,-0.03803993,0.8007241,-0.1092784,0.587752,0.02289461,-0.02428786,0.9993839,0.01085363,0.03866293,-0.04943695,0.9978282,0.02000264,0.09725027,0.09612379,0.6906173,0.7101763,0.03539928,-0.6199506,0.00582599,0.7838204,-0.021465,-0.6820725,0.04300331,0.7297037,-0.01091289,-0.7512351,0.1377693,0.6454043
6.657903E-08,0,0,1,0.00934841,0.002451221,0.003786063,0.9999462,0.001530658,-0.7100427,-0.01011344,-0.7040845,-0.04198596,-0.708802,-0.05324299,-0.7021412,0.0374959,0.705724,-0.706402,0.03929221,0.03742692,0.7069637,-0.7051614,0.03935802,0.03742692,0.7069637,-0.7051614,0.03935802,-0.006464348,-0.7233069,0.001700149,0.6904944,0.0408148,-0.7222639,-0.04342368,0.6890455,-0.02994476,0.7065914,-0.7066759,-0.0210076,-0.02990801,0.7078271,-0.7054382,-0.02105992,-0.02990801,0.7078271,-0.7054382,-0.02105992,0.004045342,-0.006046318,0.9999717,-0.001946555,0.005639423,-0.00274407,0.9999805,-0.0001069403,0.007238168,0.0005680857,0.9999722,0.00173817,0.007238168,0.0005680857,0.9999722,0.00173817,-0.08338016,0.07450226,0.6993412,-0.7059882,0.0104674,0.6463754,-0.01159174,0.7628599,-0.04166727,0.7139599,-0.0620931,0.6961822,-0.03819149,0.8008509,-0.1088504,0.5876489,0.02303493,-0.02452472,0.9993738,0.01096542,0.03880953,-0.04959388,0.9978113,0.02018209,0.09742811,0.09597559,0.6905457,0.7102418,0.03556287,-0.6200573,0.005675072,0.7837297,-0.02131189,-0.6821511,0.04295587,0.7296377,-0.01122559,-0.7513446,0.1377761,0.6452703
6.657903E-08,0,0,1,0.009492988,0.002682616,0.003809487,0.9999441,0.001437724,-0.7101869,-0.0106065,-0.703932,-0.04148364,-0.708976,-0.05312777,-0.7020042,0.03733519,0.7057284,-0.7064054,0.0393091,0.03726615,0.706968,-0.7051647,0.03937457,0.03726615,0.706968,-0.7051647,0.03937457,-0.005928829,-0.7230662,0.00166542,0.6907514,0.04063482,-0.7220465,-0.04280769,0.6893224,-0.02964701,0.7065039,-0.706768,-0.02127023,-0.02960985,0.7077404,-0.7055298,-0.02132214,-0.02960985,0.7077404,-0.7055298,-0.02132214,0.004250137,-0.006223696,0.9999698,-0.00192313,0.005817612,-0.002954246,0.9999787,-3.666635E-05,0.00738967,0.0003250157,0.999971,0.001855431,0.00738967,0.0003250157,0.999971,0.001855431,-0.08353201,0.07417265,0.699349,-0.7059971,0.0106524,0.6463787,-0.01131339,0.7628587,-0.04166603,0.7140787,-0.0618188,0.6960851,-0.03832687,0.8009731,-0.1088603,0.5874717,0.02327501,-0.02474255,0.99936,0.01120723,0.03913775,-0.04978618,0.9977812,0.02054818,0.09775332,0.09593437,0.6903996,0.7103446,0.03572652,-0.6202238,0.005490758,0.783592,-0.02120211,-0.6823083,0.04284963,0.7294999,-0.01147549,-0.7515129,0.1377794,0.6450688
6.657903E-08,0,0,1,0.009633721,0.002956563,0.003821799,0.999942,0.001905681,-0.7103626,-0.01057059,-0.7037541,-0.04151633,-0.7091513,-0.05356529,-0.7017919,0.03720361,0.7057248,-0.7064154,0.03932166,0.03713446,0.7069644,-0.7051747,0.03938694,0.03713446,0.7069644,-0.7051747,0.03938694,-0.005998752,-0.7228518,0.002205996,0.6909737,0.04109422,-0.7218303,-0.04280123,0.689522,-0.0293618,0.7065462,-0.7067286,-0.02156859,-0.02932405,0.7077832,-0.7054899,-0.02162002,-0.02932405,0.7077832,-0.7054899,-0.02162002,0.004480289,-0.006366878,0.999968,-0.00190594,0.006003964,-0.003099877,0.9999773,1.002698E-05,0.007532089,0.0001769316,0.99997,0.001931715,0.007532089,0.0001769316,0.99997,0.001931715,-0.08362397,0.07385734,0.6993106,-0.7060575,0.01084306,0.6463903,-0.01105621,0.7628502,-0.0415447,0.7142344,-0.06153496,0.6959578,-0.03840826,0.8011578,-0.1090472,0.5871799,0.02345846,-0.02485673,0.999351,0.01140262,0.03936196,-0.04986629,0.997762,0.02086247,0.0980908,0.09576848,0.6902912,0.7104259,0.03590692,-0.6203215,0.005285225,0.7835078,-0.02109397,-0.6825417,0.04283783,0.7292855,-0.01151207,-0.7517084,0.1376867,0.6448603
6.657903E-08,0,0,1,0.009718232,0.003204287,0.003828792,0.9999403,0.001886967,-0.7105989,-0.01095693,-0.7035095,-0.04116537,-0.7094085,-0.05355623,-0.7015533,0.03707592,0.7057235,-0.7064267,0.03925924,0.03700683,0.7069632,-0.7051862,0.03932417,0.03700683,0.7069632,-0.7051862,0.03932417,-0.005830753,-0.722716,0.002443578,0.6911162,0.04127415,-0.7216986,-0.0425934,0.6896619,-0.02923592,0.7067226,-0.7065563,-0.02160701,-0.02919786,0.7079595,-0.7053169,-0.02165811,-0.02919786,0.7079595,-0.7053169,-0.02165811,0.004718661,-0.006451126,0.9999664,-0.001909519,0.006232983,-0.003183858,0.9999756,9.864722E-06,0.007751723,9.322037E-05,0.9999683,0.001934977,0.007751723,9.322037E-05,0.9999683,0.001934977,-0.08366216,0.07358821,0.6992974,-0.7060943,0.01108153,0.6464301,-0.01074036,0.7628174,-0.04141729,0.7144234,-0.06138152,0.6957849,-0.03834908,0.8013629,-0.1094233,0.5868339,0.02367617,-0.02498698,0.9993418,0.01145068,0.03957759,-0.05004286,0.9977427,0.02095524,0.09842432,0.09560146,0.6902788,0.7104145,0.03597388,-0.6204093,0.005112512,0.7834364,-0.02105115,-0.682771,0.04291523,0.7290674,-0.01155858,-0.7519643,0.1376226,0.6445749
6.657903E-08,0,0,1,0.009820807,0.003493961,0.003896768,0.9999381,0.001781686,-0.7107267,-0.01132065,-0.703375,-0.04091286,-0.7095507,-0.05355011,-0.7014245,0.03702619,0.7057425,-0.7064152,0.03916707,0.03695733,0.7069823,-0.7051747,0.03923213,0.03695733,0.7069823,-0.7051747,0.03923213,-0.005631905,-0.7225838,0.002536596,0.6912557,0.04137994,-0.7215717,-0.04242917,0.6897984,-0.02909278,0.7067911,-0.7064951,-0.02155273,-0.02905495,0.708028,-0.7052556,-0.02160365,-0.02905495,0.708028,-0.7052556,-0.02160365,0.005007727,-0.006557398,0.9999642,-0.001925021,0.006521435,-0.003293823,0.9999733,4.683503E-05,0.008039552,-2.044618E-05,0.9999657,0.002024578,0.008039552,-2.044618E-05,0.9999657,0.002024578,-0.08359294,0.07329392,0.6993397,-0.7060909,0.01117811,0.6465068,-0.01063291,0.7627524,-0.04142256,0.7146246,-0.06127091,0.6955872,-0.03814122,0.8016059,-0.1098799,0.5864294,0.02392812,-0.02518159,0.9993303,0.01150872,0.03979336,-0.05031817,0.9977195,0.02098164,0.09870955,0.09547664,0.6903418,0.7103301,0.03601211,-0.6203289,0.00484919,0.7834996,-0.02100455,-0.6829288,0.04286066,0.7289239,-0.01130132,-0.7521966,0.1375623,0.6443208
6.657903E-08,0,0,1,0.009995016,0.003777256,0.003958209,0.9999352,0.001462655,-0.7108725,-0.01177306,-0.7032209,-0.04064069,-0.7097118,-0.05340003,-0.7012889,0.03705794,0.7058063,-0.7063527,0.03911945,0.03698923,0.7070459,-0.7051118,0.03918446,0.03698923,0.7070459,-0.7051118,0.03918446,-0.005426986,-0.7223985,0.002499801,0.6914513,0.04141898,-0.7213984,-0.04233176,0.6899834,-0.02897104,0.7068828,-0.7064109,-0.02147774,-0.02893334,0.7081196,-0.7051712,-0.02152844,-0.02893334,0.7081196,-0.7051712,-0.02152844,0.005329245,-0.006731585,0.9999614,-0.001927618,0.006881171,-0.00346798,0.9999704,0.0001030848,0.008437609,-0.0001945702,0.9999623,0.002139847,0.008437609,-0.0001945702,0.9999623,0.002139847,-0.08356999,0.07298569,0.6993558,-0.7061097,0.01129797,0.6466963,-0.01050734,0.762592,-0.04150385,0.7147658,-0.06125706,0.6954395,-0.03791878,0.801836,-0.1103315,0.5860451,0.02425938,-0.02537827,0.9993165,0.01160395,0.04005747,-0.05053723,0.9976965,0.02105673,0.09894232,0.09542731,0.6904275,0.7102212,0.03605756,-0.6203175,0.004822041,0.7835071,-0.02090289,-0.6829951,0.04266144,0.7288769,-0.01073573,-0.7524186,0.1374013,0.6441059
