Root,Root,Root,Root,Hips,Hips,Hips,Hips,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftShin,LeftShin,LeftShin,LeftShin,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftToe,LeftToe,LeftToe,LeftToe,RightThigh,RightThigh,RightThigh,RightThigh,RightShin,RightShin,RightShin,RightShin,RightFoot,RightFoot,RightFoot,RightFoot,RightToe,RightToe,RightToe,RightToe,Spine1,Spine1,Spine1,Spine1,Spine2,Spine2,Spine2,Spine2,Spine3,Spine3,Spine3,Spine3,Spine4,Spine4,Spine4,Spine4,LeftShoulder,LeftShoulder,LeftShoulder,LeftShoulder,LeftArm,LeftArm,LeftArm,LeftArm,LeftForeArm,LeftForeArm,LeftForeArm,LeftForeArm,LeftHand,LeftHand,LeftHand,LeftHand,Neck,Neck,Neck,Neck,Head,Head,Head,Head,RightShoulder,RightShoulder,RightShoulder,RightShoulder,RightArm,RightArm,RightArm,RightArm,RightForeArm,RightForeArm,RightForeArm,RightForeArm,RightHand,RightHand,RightHand,RightHand
1,0,0,0,1,0,0,0,1.07E-06,0,-1,0,1,-3.89E-07,0,0,1.07E-06,-1,-5.55E-17,0,1,-8.34E-14,1.75E-07,0,9.32E-07,0,1,0,1,0,0,0,2.22E-16,1,2.22E-16,0,1,0,0,0,-1,-1.22E-16,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-2.22E-16,1,0,0,1.60E-06,0,-1,0,1,-1.43E-06,1.43E-06,0,1,0,0,0,1,0,0,0,1,0,0,0,-9.32E-07,-1,8.66E-07,0,1.07E-06,7.15E-07,1,0,1,-8.66E-07,-4.77E-07,0,1,-8.66E-07,-4.77E-07,0
1,0,0,0,0.999960643,0.00782906,-0.004173552,0,-0.003297068,0.007680857,-0.999965066,0,0.991183304,0.132497767,-2.52E-07,0,0.116921777,-0.983173539,0.140353445,0,1,5.93E-08,1.79E-07,0,-0.051813638,-0.016367683,0.998522632,0,0.990246593,-0.139325664,0.000208992,0,0.122502024,0.98488978,-0.122414769,0,1,-2.09E-07,-6.00E-08,0,-0.999987365,0.003800364,-0.003290522,0,0.999987364,-0.003800565,0.003290598,0,0.999987288,-0.003811877,0.003300464,0,1,0,0,0,-0.014766842,0.971697574,-0.235766336,0,0.017815357,0.999028411,-0.040309394,0,0.971921999,-0.143950393,-0.186134122,0,0.958435227,-0.073873809,-0.275580436,0,0.99934796,-0.018374423,0.031081121,0,0.999347961,-0.018374421,0.031081079,0,-0.024345113,-0.965966082,0.257520569,0,-0.030487423,-0.995481872,0.089924183,0,0.978065002,0.129594681,0.163076885,0,0.978065002,0.129594681,0.163076885,0
1,0,0,0,0.999960643,0.00782906,-0.004173552,0,-0.003297068,0.007680857,-0.999965066,0,0.991183304,0.132497767,-2.52E-07,0,0.116921777,-0.983173539,0.140353445,0,1,5.93E-08,1.79E-07,0,-0.051813638,-0.016367683,0.998522632,0,0.990246593,-0.139325664,0.000208992,0,0.122502024,0.98488978,-0.122414769,0,1,-2.09E-07,-6.00E-08,0,-0.999987365,0.003800364,-0.003290522,0,0.999987364,-0.003800565,0.003290598,0,0.999987288,-0.003811877,0.003300464,0,1,0,0,0,-0.014766842,0.971697574,-0.235766336,0,0.017815357,0.999028411,-0.040309394,0,0.971921999,-0.143950393,-0.186134122,0,0.958435227,-0.073873809,-0.275580436,0,0.99934796,-0.018374423,0.031081121,0,0.999347961,-0.018374421,0.031081079,0,-0.024345113,-0.965966082,0.257520569,0,-0.030487423,-0.995481872,0.089924183,0,0.978065002,0.129594681,0.163076885,0,0.978065002,0.129594681,0.163076885,0
1,0,0,0,0.999960643,0.00782906,-0.004173552,0,-0.003297068,0.007680857,-0.999965066,0,0.991183304,0.132497767,-2.52E-07,0,0.116921777,-0.983173539,0.140353445,0,1,5.93E-08,1.79E-07,0,-0.051813638,-0.016367683,0.998522632,0,0.990246593,-0.139325664,0.000208992,0,0.122502024,0.98488978,-0.122414769,0,1,-2.09E-07,-6.00E-08,0,-0.999987365,0.003800364,-0.003290522,0,0.999987364,-0.003800565,0.003290598,0,0.999987288,-0.003811877,0.003300464,0,1,0,0,0,-0.014766842,0.971697574,-0.235766336,0,0.017815357,0.999028411,-0.040309394,0,0.971921999,-0.143950393,-0.186134122,0,0.958435227,-0.073873809,-0.275580436,0,0.99934796,-0.018374423,0.031081121,0,0.999347961,-0.018374421,0.031081079,0,-0.024345113,-0.965966082,0.257520569,0,-0.030487423,-0.995481872,0.089924183,0,0.978065002,0.129594681,0.163076885,0,0.978065002,0.129594681,0.163076885,0
1,0,0,0,0.999953305,0.007586434,-0.005986174,0,-0.003520908,0.009958423,-0.999944215,0,0.992528355,0.122014196,-7.78E-07,0,0.118133649,-0.983747201,0.135225313,0,1,2.09E-10,-5.96E-08,0,-0.050779524,-0.013390214,0.998620119,0,0.991515916,-0.129984854,0.000354131,0,0.118320975,0.985975052,-0.117700228,0,1,-1.19E-07,5.94E-08,0,-0.999987865,0.003870493,-0.003047652,0,0.999987864,-0.003870608,0.003047833,0,0.999987792,-0.003882136,0.003056973,0,1,0,0,0,-0.015074535,0.971670755,-0.235857378,0,0.017150121,0.999067685,-0.03961861,0,0.97147155,-0.145248903,-0.187472088,0,0.95830156,-0.074451821,-0.275889555,0,0.999316989,-0.019353246,0.031480264,0,0.999316996,-0.019353236,0.031480067,0,-0.024795113,-0.966095087,0.256993164,0,-0.030282766,-0.995409676,0.09078839,0,0.977904354,0.130643972,0.163203026,0,0.977904354,0.130643972,0.163203026,0
1,0,0,0,0.999940129,0.00784052,-0.007633155,0,-0.003366726,0.010757185,-0.999936472,0,0.992985007,0.11824033,-1.25E-06,0,0.119231288,-0.983844881,0.133540815,0,1,5.97E-08,-5.95E-08,0,-0.051105963,-0.012457738,0.998615534,0,0.991593717,-0.129389589,0.000484336,0,0.11627911,0.986341169,-0.116663047,0,1,2.96E-08,1.19E-07,0,-0.999986756,0.004106662,-0.00310198,0,0.999986755,-0.004106889,0.003102229,0,0.999986676,-0.004119118,0.003111527,0,1,0,0,0,-0.015656856,0.971548981,-0.236320632,0,0.016866597,0.999075085,-0.039553665,0,0.971201927,-0.146172347,-0.188150103,0,0.957836565,-0.076355255,-0.276981932,0,0.9993244,-0.019303591,0.031274825,0,0.999324402,-0.019303571,0.031274773,0,-0.024110444,-0.966393937,0.255932499,0,-0.029572511,-0.995519033,0.089818264,0,0.977648307,0.131055541,0.164402654,0,0.977648307,0.131055541,0.164402654,0
1,0,0,0,0.999919063,0.007814073,-0.010040313,0,-0.002803975,0.010913589,-0.999936514,0,0.993544815,0.113440296,-1.14E-06,0,0.12076158,-0.983950629,0.131368944,0,1,-8.95E-08,2.96E-08,0,-0.050810212,-0.012185745,0.998633982,0,0.991939729,-0.126709403,0.000548984,0,0.113586558,0.986868511,-0.114841785,0,1,-3.00E-08,8.94E-08,0,-0.999987125,0.004139697,-0.002934741,0,0.999987123,-0.004140051,0.002934932,0,0.999987046,-0.004152388,0.002943735,0,1,0,0,0,-0.014948682,0.971723336,-0.235648667,0,0.017755997,0.999107945,-0.038315005,0,0.971225993,-0.146751604,-0.187574082,0,0.957643362,-0.075408017,-0.277907937,0,0.999320142,-0.018927785,0.031638481,0,0.999320139,-0.018927799,0.031638566,0,-0.023266946,-0.966454063,0.255783488,0,-0.028851956,-0.995535279,0.089872539,0,0.977904952,0.130113055,0.163623034,0,0.977904952,0.130113055,0.163623034,0
1,0,0,0,0.999899887,0.009142669,-0.010799389,0,-0.003279444,0.009754507,-0.999947046,0,0.99322322,0.116222349,4.14E-25,0,0.122114807,-0.983594121,0.132780188,0,1,1.49E-07,-2.95E-08,0,-0.050700073,-0.013100358,0.998628,0,0.992823096,-0.119592019,0.000222882,0,0.112194047,0.987462208,-0.111044512,0,1,8.93E-08,8.96E-08,0,-0.999984578,0.004589409,-0.003127554,0,0.999984578,-0.004589533,0.003127433,0,0.999984485,-0.004603209,0.003136816,0,1,0,0,0,-0.014778905,0.971759811,-0.235508926,0,0.016717306,0.999153129,-0.037597307,0,0.971133786,-0.147607195,-0.187380056,0,0.957904968,-0.075101358,-0.277088177,0,0.999316523,-0.018545726,0.031977215,0,0.999316526,-0.018545729,0.031977126,0,-0.023567764,-0.966345221,0.256166886,0,-0.027332853,-0.995567739,0.089987738,0,0.978022394,0.13063311,0.162502884,0,0.978022394,0.13063311,0.162502884,0
1,0,0,0,0.999885085,0.009369843,-0.011917355,0,-0.003086224,0.010353894,-0.999941634,0,0.993182923,0.116566207,1.30E-07,0,0.1228307,-0.983533274,0.132570431,0,1,0,0,0,-0.050282894,-0.012328003,0.998658926,0,0.992937757,-0.118636347,0.000164686,0,0.109844118,0.987857825,-0.109868958,0,1,3.00E-08,-8.94E-08,0,-0.999984775,0.004455205,-0.003255922,0,0.999984773,-0.004455397,0.003256104,0,0.999984682,-0.004468675,0.003265871,0,1,0,0,0,-0.013539337,0.971812785,-0.235364816,0,0.016186047,0.999191752,-0.036794776,0,0.971297024,-0.147430691,-0.18667159,0,0.957946376,-0.075640548,-0.27679821,0,0.999330681,-0.018468167,0.03157717,0,0.999330674,-0.018468175,0.031577363,0,-0.024441112,-0.966367358,0.256001487,0,-0.026522276,-0.995596199,0.089915392,0,0.977944107,0.131500558,0.162274236,0,0.977944107,0.131500558,0.162274236,0
1,0,0,0,0.999863252,0.007471627,-0.014753049,0,-0.002367825,0.013033559,-0.999912256,0,0.993624026,0.112744378,-5.40E-07,0,0.124173549,-0.983801535,0.129288317,0,1,-3.00E-08,8.94E-08,0,-0.050909844,-0.009782268,0.998655343,0,0.992072743,-0.12566455,0.000305105,0,0.107691695,0.987837496,-0.112158726,0,1,8.96E-08,-8.92E-08,0,-0.999990181,0.003447361,-0.00278456,0,0.99999018,-0.00344752,0.002784592,0,0.999990121,-0.003457812,0.002792951,0,1,0,0,0,-0.01229196,0.971884138,-0.235138535,0,0.017878092,0.99915788,-0.036931072,0,0.97138371,-0.147390994,-0.186251397,0,0.958514419,-0.07409176,-0.27524629,0,0.99931564,-0.019357774,0.031520277,0,0.999315649,-0.019357767,0.031520017,0,-0.025323197,-0.966370985,0.255902041,0,-0.026140165,-0.995668378,0.089225409,0,0.977670488,0.132407259,0.163183129,0,0.977670488,0.132407259,0.163183129,0
