Root,Root,Root,Root,Hips,Hips,Hips,Hips,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftShin,LeftShin,LeftShin,LeftShin,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftToe,LeftToe,LeftToe,LeftToe,RightThigh,RightThigh,RightThigh,RightThigh,RightShin,RightShin,RightShin,RightShin,RightFoot,RightFoot,RightFoot,RightFoot,RightToe,RightToe,RightToe,RightToe,Spine1,Spine1,Spine1,Spine1,Spine2,Spine2,Spine2,Spine2,Spine3,Spine3,Spine3,Spine3,Spine4,Spine4,Spine4,Spine4,LeftShoulder,LeftShoulder,LeftShoulder,LeftShoulder,LeftArm,LeftArm,LeftArm,LeftArm,LeftForeArm,LeftForeArm,LeftForeArm,LeftForeArm,LeftHand,LeftHand,LeftHand,LeftHand,Neck,Neck,Neck,Neck,Head,Head,Head,Head,RightShoulder,RightShoulder,RightShoulder,RightShoulder,RightArm,RightArm,RightArm,RightArm,RightForeArm,RightForeArm,RightForeArm,RightForeArm,RightHand,RightHand,RightHand,RightHand,MotionType
6.66E-08,0,0,1,0.008998616,0.00205146,0.003933312,0.9999497,0.006583739,-0.7082705,0.001165431,-0.7059096,1.08E-07,8.57E-08,0.06639545,0.9977935,-0.5637776,-0.4346262,0.5026324,-0.4905262,-0.001756691,-1.03E-07,4.93E-08,0.9999987,-0.01739501,-0.7251658,0.006436504,0.6883245,-5.36E-08,-0.00010473,-0.06983332,0.9975588,-0.5628371,0.4399157,-0.4952004,-0.4944349,-0.001749958,-7.24E-09,-8.89E-08,0.9999988,0.001638897,0.003352371,0.9999914,0.001905716,0.003352428,-0.001638925,-0.001905794,0.9999914,0.003362436,-0.001643818,-0.001911484,0.9999913,0,0,0,1,0.07889441,0.08908162,0.7067162,0.6974185,0.5092275,-0.519614,-0.4702061,-0.4995951,-0.007242962,0.09319642,-0.07316758,0.9929295,0.02657431,0.1401969,-0.03357392,0.9891976,-0.0251631,-0.01576943,-0.008794619,0.9995203,-0.02516311,-0.0157694,-0.008794622,0.9995202,0.09071448,-0.09297726,-0.7095969,0.6925305,-0.4797627,-0.539413,-0.473579,0.5045631,-0.0199573,-0.08066508,0.0667877,0.9943008,0.06778438,-0.1104532,0.06424488,0.9894837,1
6.66E-08,0,0,1,0.008998616,0.00205146,0.003933312,0.9999497,0.006583739,-0.7082705,0.001165431,-0.7059096,1.08E-07,8.57E-08,0.06639545,0.9977935,-0.5637776,-0.4346262,0.5026324,-0.4905262,-0.001756691,-1.03E-07,4.93E-08,0.9999987,-0.01739501,-0.7251658,0.006436504,0.6883245,-5.36E-08,-0.00010473,-0.06983332,0.9975588,-0.5628371,0.4399157,-0.4952004,-0.4944349,-0.001749958,-7.24E-09,-8.89E-08,0.9999988,0.001638897,0.003352371,0.9999914,0.001905716,0.003352428,-0.001638925,-0.001905794,0.9999914,0.003362436,-0.001643818,-0.001911484,0.9999913,0,0,0,1,0.07889441,0.08908162,0.7067162,0.6974185,0.5092275,-0.519614,-0.4702061,-0.4995951,-0.007242962,0.09319642,-0.07316758,0.9929295,0.02657431,0.1401969,-0.03357392,0.9891976,-0.0251631,-0.01576943,-0.008794619,0.9995203,-0.02516311,-0.0157694,-0.008794622,0.9995202,0.09071448,-0.09297726,-0.7095969,0.6925305,-0.4797627,-0.539413,-0.473579,0.5045631,-0.0199573,-0.08066508,0.0667877,0.9943008,0.06778438,-0.1104532,0.06424488,0.9894837,1
6.66E-08,0,0,1,0.008998616,0.00205146,0.003933312,0.9999497,0.006583739,-0.7082705,0.001165431,-0.7059096,1.08E-07,8.57E-08,0.06639545,0.9977935,-0.5637776,-0.4346262,0.5026324,-0.4905262,-0.001756691,-1.03E-07,4.93E-08,0.9999987,-0.01739501,-0.7251658,0.006436504,0.6883245,-5.36E-08,-0.00010473,-0.06983332,0.9975588,-0.5628371,0.4399157,-0.4952004,-0.4944349,-0.001749958,-7.24E-09,-8.89E-08,0.9999988,0.001638897,0.003352371,0.9999914,0.001905716,0.003352428,-0.001638925,-0.001905794,0.9999914,0.003362436,-0.001643818,-0.001911484,0.9999913,0,0,0,1,0.07889441,0.08908162,0.7067162,0.6974185,0.5092275,-0.519614,-0.4702061,-0.4995951,-0.007242962,0.09319642,-0.07316758,0.9929295,0.02657431,0.1401969,-0.03357392,0.9891976,-0.0251631,-0.01576943,-0.008794619,0.9995203,-0.02516311,-0.0157694,-0.008794622,0.9995202,0.09071448,-0.09297726,-0.7095969,0.6925305,-0.4797627,-0.539413,-0.473579,0.5045631,-0.0199573,-0.08066508,0.0667877,0.9943008,0.06778438,-0.1104532,0.06424488,0.9894837,1
6.66E-08,0,0,1,0.009148779,0.002197043,0.003883192,0.9999482,0.002886707,-0.7083871,-0.002725918,-0.705813,-9.72E-08,1.93E-07,0.05544197,0.998462,-0.5614837,-0.4376236,0.4999202,-0.4932563,-0.001756496,5.64E-08,-6.61E-08,0.9999985,-0.01390433,-0.7250907,0.00350961,0.688504,-5.10E-08,-8.78E-05,-0.06006561,0.9981945,-0.5602166,0.4429866,-0.4931094,-0.4967529,-0.001749987,4.00E-08,-2.55E-08,0.9999983,0.001629998,0.003330713,0.9999914,0.001879478,0.003330771,-0.001630027,-0.001879555,0.9999914,0.003340713,-0.001634894,-0.001885165,0.9999915,0,0,0,1,0.07896836,0.08900113,0.7066263,0.6975115,0.5091372,-0.5195845,-0.4704517,-0.4994867,-0.007183966,0.09335712,-0.07345878,0.9928936,0.02617843,0.1401626,-0.03333484,0.9892213,-0.0252097,-0.0158449,-0.00896745,0.9995165,-0.0252097,-0.01584497,-0.00896746,0.9995164,0.0906297,-0.09280681,-0.7095839,0.6925777,-0.4797956,-0.5394988,-0.4734894,0.5045248,-0.01996951,-0.08059475,0.06690774,0.9942986,0.06755348,-0.1104545,0.06409437,0.9895095,1
6.66E-08,0,0,1,0.009348343,0.002451221,0.003786063,0.9999462,0.00544917,-0.708379,-0.000805665,-0.7058111,3.18E-08,1.21E-07,0.06128326,0.9981207,-0.5629517,-0.4360121,0.5011393,-0.4917706,-0.001756446,5.62E-08,6.94E-08,0.9999985,-0.01566168,-0.7249202,0.005831726,0.6886303,1.79E-08,-0.000116505,-0.06534588,0.9978628,-0.5608652,0.4415575,-0.4950554,-0.4953564,-0.001750094,-8.16E-08,-5.19E-09,0.9999987,0.001589278,0.003291609,0.9999917,0.001862502,0.003291663,-0.001589305,-0.001862577,0.9999918,0.003301492,-0.001594051,-0.001868139,0.9999918,0,0,0,1,0.07906803,0.08897036,0.7065976,0.6975334,0.5091181,-0.519522,-0.470641,-0.499393,-0.00721409,0.09352334,-0.07370438,0.9928592,0.02588499,0.1401445,-0.03318868,0.9892364,-0.0251311,-0.01584951,-0.009037434,0.9995179,-0.02513111,-0.01584957,-0.009037433,0.999518,0.09060913,-0.09266378,-0.7096611,0.6925207,-0.4798216,-0.5396144,-0.4733463,0.5045109,-0.01988693,-0.0805563,0.06699888,0.9942973,0.06727077,-0.1104916,0.06445347,0.9895016,1
6.66E-08,0,0,1,0.009492921,0.002682616,0.003809487,0.9999441,0.005443067,-0.708365,-0.001178635,-0.7058246,5.80E-08,3.03E-07,0.06043298,0.9981725,-0.562897,-0.4362673,0.5007944,-0.4919587,-0.001756435,7.41E-08,1.71E-08,0.9999987,-0.01524477,-0.7248404,0.005882072,0.6887231,1.26E-07,-0.000142738,-0.06438003,0.9979256,-0.5601352,0.4416624,-0.4954037,-0.4957403,-0.001751017,-7.06E-08,-1.12E-07,0.9999986,0.001561912,0.003258321,0.9999917,0.00191,0.003258375,-0.001561937,-0.001910041,0.9999917,0.003268104,-0.0015666,-0.001915812,0.9999917,0,0,0,1,0.0790053,0.08906463,0.706699,0.6974256,0.509086,-0.5194294,-0.4707338,-0.4994342,-0.007320566,0.09367668,-0.07382262,0.9928354,0.02601848,0.1402109,-0.03345427,0.9892147,-0.02510627,-0.01593895,-0.009162257,0.9995158,-0.0251063,-0.01593889,-0.009162259,0.9995157,0.09063935,-0.09270153,-0.7097201,0.6924511,-0.4799496,-0.5398749,-0.4730349,0.5044028,-0.01984632,-0.08055084,0.06709768,0.9942919,0.06711143,-0.1105222,0.06476526,0.9894882,1
6.66E-08,0,0,1,0.009633654,0.002956563,0.003821799,0.999942,0.006001731,-0.7083498,-0.001031301,-0.7058356,4.90E-08,5.27E-07,0.0611215,0.9981306,-0.5632345,-0.4360663,0.500779,-0.4917665,-0.001756433,-1.36E-08,-1.64E-08,0.9999988,-0.01542417,-0.7248086,0.006511122,0.6887471,-4.64E-09,-0.00017741,-0.06513072,0.997877,-0.5597384,0.4413111,-0.4960688,-0.4958362,-0.001751774,-3.52E-08,-6.99E-08,0.9999987,0.001517589,0.003255416,0.9999919,0.001940185,0.003255468,-0.001517613,-0.001940235,0.9999919,0.003265189,-0.001522144,-0.001946082,0.999992,0,0,0,1,0.07888794,0.08915633,0.7068161,0.697309,0.5089809,-0.5193889,-0.4708084,-0.4995139,-0.007359818,0.09386696,-0.07384588,0.9928156,0.02624973,0.1403548,-0.0339088,0.9891728,-0.02507337,-0.01598059,-0.009280443,0.9995154,-0.0250734,-0.01598049,-0.009280453,0.9995153,0.09048197,-0.09282922,-0.7097751,0.6923987,-0.4800543,-0.5399956,-0.4728072,0.5043875,-0.01974784,-0.08073565,0.06730235,0.9942652,0.06698244,-0.1104771,0.06478945,0.9895006,1
6.66E-08,0,0,1,0.009718165,0.003204287,0.003828792,0.9999403,0.006038097,-0.7084159,-0.001350873,-0.705768,-2.03E-08,5.53E-07,0.06058114,0.9981635,-0.5633356,-0.4361859,0.5004479,-0.4918814,-0.001756291,3.00E-08,-1.49E-07,0.9999988,-0.01532179,-0.7248413,0.00680213,0.6887118,2.39E-08,-0.00020041,-0.06515977,0.9978749,-0.5592935,0.4413982,-0.4962752,-0.4960543,-0.00175215,4.42E-08,1.73E-07,0.9999987,0.001508057,0.003255216,0.9999918,0.001944444,0.003255269,-0.001508084,-0.001944518,0.999992,0.003264971,-0.001512587,-0.001950331,0.999992,0,0,0,1,0.07883226,0.08928847,0.7068468,0.6972673,0.5088316,-0.5194257,-0.4709553,-0.4994892,-0.007298495,0.09407326,-0.0740402,0.9927819,0.02660806,0.1405064,-0.03432153,0.9891275,-0.02512228,-0.01597822,-0.009320715,0.9995134,-0.02512229,-0.01597823,-0.009320716,0.9995134,0.09021761,-0.09295157,-0.7097882,0.6924034,-0.480297,-0.5399743,-0.4726551,0.5043224,-0.01958529,-0.08093604,0.06751624,0.9942375,0.06683606,-0.1105366,0.06473622,0.9895074,1
6.66E-08,0,0,1,0.00982074,0.003493961,0.003896768,0.9999381,0.005959302,-0.7083432,-0.001592925,-0.7058413,-1.17E-07,5.36E-07,0.06006728,0.9981943,-0.5633986,-0.4363498,0.5001963,-0.491919,-0.001756413,-6.82E-08,4.47E-08,0.9999986,-0.01524485,-0.7249074,0.006919454,0.6886428,3.13E-08,-0.000219399,-0.06504344,0.9978824,-0.5589517,0.4415224,-0.4965081,-0.4960953,-0.001752224,-3.97E-09,3.39E-08,0.9999985,0.001506934,0.003250675,0.9999917,0.001997995,0.00325073,-0.00150696,-0.001998037,0.9999917,0.003260484,-0.001511458,-0.002004073,0.9999916,0,0,0,1,0.07881308,0.08934643,0.7068951,0.6972126,0.5087751,-0.5193262,-0.4710526,-0.499558,-0.007356987,0.09425443,-0.07410654,0.9927589,0.02716862,0.1407245,-0.03455208,0.9890724,-0.02520442,-0.01594388,-0.009283143,0.9995122,-0.02520439,-0.0159439,-0.009283154,0.9995121,0.08997656,-0.09294834,-0.7096778,0.6925479,-0.4804603,-0.5398262,-0.4727673,0.5042188,-0.01943109,-0.08125651,0.06767005,0.9942035,0.06700148,-0.1106739,0.06457488,0.9894909,1
6.66E-08,0,0,1,0.009994949,0.003777256,0.003958208,0.9999352,0.005721953,-0.7082936,-0.001878095,-0.7058924,-4.63E-09,6.37E-07,0.05922411,0.9982448,-0.5633954,-0.436525,0.4998303,-0.4921399,-0.001756532,6.05E-08,3.13E-08,0.9999987,-0.01520655,-0.7249171,0.006962616,0.6886335,-1.34E-08,-0.000242677,-0.0648312,0.9978965,-0.5586272,0.4417582,-0.4966997,-0.4960597,-0.001752257,-7.62E-09,4.11E-08,0.9999987,0.001544411,0.003249668,0.9999917,0.002058402,0.003249726,-0.001544439,-0.002058481,0.9999916,0.00325943,-0.001549047,-0.002064625,0.9999916,0,0,0,1,0.07889806,0.08948652,0.70698,0.6970991,0.5087899,-0.5193201,-0.4710348,-0.4995666,-0.007403131,0.09420832,-0.07432272,0.9927478,0.02769597,0.1409999,-0.03465325,0.9890162,-0.02522887,-0.01587867,-0.009255716,0.9995133,-0.02522887,-0.01587864,-0.009255705,0.9995133,0.0897772,-0.09277064,-0.7095414,0.6927375,-0.4806576,-0.5397487,-0.4727136,0.504165,-0.01948888,-0.08135734,0.06750444,0.9942061,0.0673838,-0.1109134,0.06427487,0.9894583,1
