Timestamp,Root_P_x,Root_P_y,Root_P_z,Root_Q_x,Root_Q_y,Root_Q_z,Root_Q_w,Hips_P_x,Hips_P_y,Hips_P_z,Hips_Q_x,Hips_Q_y,Hips_Q_z,Hips_Q_w,LeftThigh_P_x,LeftThigh_P_y,LeftThigh_P_z,LeftThigh_Q_x,LeftThigh_Q_y,LeftThigh_Q_z,LeftThigh_Q_w,LeftShin_P_x,LeftShin_P_y,LeftShin_P_z,LeftShin_Q_x,LeftShin_Q_y,LeftShin_Q_z,LeftShin_Q_w,LeftFoot_P_x,LeftFoot_P_y,LeftFoot_P_z,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftFoot_Q_w,LeftToe_P_x,LeftToe_P_y,LeftToe_P_z,LeftToe_Q_x,LeftToe_Q_y,LeftToe_Q_z,LeftToe_Q_w,LeftToeTip_P_x,LeftToeTip_P_y,LeftToeTip_P_z,LeftToeTip_Q_x,LeftToeTip_Q_y,LeftToeTip_Q_z,LeftToeTip_Q_w,RightThigh_P_x,RightThigh_P_y,RightThigh_P_z,RightThigh_Q_x,RightThigh_Q_y,RightThigh_Q_z,RightThigh_Q_w,RightShin_P_x,RightShin_P_y,RightShin_P_z,RightShin_Q_x,RightShin_Q_y,RightShin_Q_z,RightShin_Q_w,RightFoot_P_x,RightFoot_P_y,RightFoot_P_z,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z,RightFoot_Q_w,RightToe_P_x,RightToe_P_y,RightToe_P_z,RightToe_Q_x,RightToe_Q_y,RightToe_Q_z,RightToe_Q_w,RightToeTip_P_x,RightToeTip_P_y,RightToeTip_P_z,RightToeTip_Q_x,RightToeTip_Q_y,RightToeTip_Q_z,RightToeTip_Q_w,Spine1_P_x,Spine1_P_y,Spine1_P_z,Spine1_Q_x,Spine1_Q_y,Spine1_Q_z,Spine1_Q_w,Spine2_P_x,Spine2_P_y,Spine2_P_z,Spine2_Q_x,Spine2_Q_y,Spine2_Q_z,Spine2_Q_w,Spine3_P_x,Spine3_P_y,Spine3_P_z,Spine3_Q_x,Spine3_Q_y,Spine3_Q_z,Spine3_Q_w,Spine4_P_x,Spine4_P_y,Spine4_P_z,Spine4_Q_x,Spine4_Q_y,Spine4_Q_z,Spine4_Q_w,LeftShoulder_P_x,LeftShoulder_P_y,LeftShoulder_P_z,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftShoulder_Q_w,LeftArm_P_x,LeftArm_P_y,LeftArm_P_z,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftArm_Q_w,LeftForeArm_P_x,LeftForeArm_P_y,LeftForeArm_P_z,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftForeArm_Q_w,LeftHand_P_x,LeftHand_P_y,LeftHand_P_z,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,LeftHand_Q_w,Neck_P_x,Neck_P_y,Neck_P_z,Neck_Q_x,Neck_Q_y,Neck_Q_z,Neck_Q_w,Head_P_x,Head_P_y,Head_P_z,Head_Q_x,Head_Q_y,Head_Q_z,Head_Q_w,RightShoulder_P_x,RightShoulder_P_y,RightShoulder_P_z,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightShoulder_Q_w,RightArm_P_x,RightArm_P_y,RightArm_P_z,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightArm_Q_w,RightForeArm_P_x,RightForeArm_P_y,RightForeArm_P_z,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightForeArm_Q_w,RightHand_P_x,RightHand_P_y,RightHand_P_z,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightHand_Q_w
0,0,0,0,6.657903E-08,0,0,1,0.06516124,0.2396664,-0.2060953,0.09226771,0.249236,-0.01238043,0.9639579,-0.00254561,0.2379553,-0.1687568,0.4560581,-0.4476987,0.6914802,-0.3367966,-0.02623102,0.3915065,0.2133378,0.3220154,0.5515059,0.1576869,0.7531816,-0.07542916,0.08456329,-0.0592229,0.03326675,0.7382271,-0.6734984,-0.01772312,-0.08282192,0.01409573,0.06031326,0.03588774,0.7146069,-0.6984293,-0.01567798,-0.08577819,0.0005942855,0.1309773,0.03588774,0.7146069,-0.6984293,-0.01567798,0.1328681,0.2413774,-0.2434338,0.1441906,-0.5135594,0.7312532,0.4251289,0.4504135,0.2871804,0.01580025,0.5023794,0.06013815,-0.2721332,0.8184997,0.2413617,0.144183,-0.3109609,-0.2236258,0.8505422,-0.3759029,-0.292004,0.2971492,0.02084047,-0.2795983,-0.2937074,0.7186739,-0.5901129,-0.2213843,0.3460134,-0.0001873513,-0.2310743,-0.2937074,0.7186739,-0.5901129,-0.2213843,0.05279187,0.3262053,-0.2245586,0.249364,-0.2393319,0.9379116,0.02932057,0.06543314,0.3902754,-0.1930702,0.2436604,-0.3842477,0.8893088,0.0459723,0.08493713,0.4410606,-0.1451456,0.2324749,-0.5174461,0.8212523,0.0612358,0.1267037,0.4970075,-0.04458376,0.2324749,-0.5174461,0.8212523,0.0612358,0.113596,0.5258148,0.08941812,-0.07749677,-0.4021474,0.6483547,-0.6418008,-0.001368776,0.5068895,0.1436508,0.01539135,0.9311757,0.150072,0.3318938,0.01631337,0.269029,0.07145596,0.06076879,0.9452624,0.09333467,0.306717,0.0004987493,0.001426755,0.01280618,-0.05574456,0.8274019,-0.5035077,0.2424435,0.1927186,0.5854363,0.114362,0.0978996,-0.3237801,0.9404035,0.03498049,0.2056111,0.6640642,0.1744511,-0.04357789,-0.1072867,0.9932531,0.006258992,0.2324942,0.544637,0.02956454,0.4965054,-0.02479956,0.5686736,0.6553458,0.3314489,0.5626053,-0.05044393,-0.1186634,-0.6815583,-0.1150412,0.7128558,0.2502661,0.3270163,-0.04736234,0.03807757,-0.7466354,-0.05304607,0.6620213,0.2465954,0.0549464,-0.08293416,0.2068322,-0.7272433,0.4629979,0.4625704
0,0,0,0,6.657903E-08,0,0,1,0.06516124,0.2396664,-0.2060953,0.09226771,0.249236,-0.01238043,0.9639579,-0.00254561,0.2379553,-0.1687568,0.4560581,-0.4476987,0.6914802,-0.3367966,-0.02623102,0.3915065,0.2133378,0.3220154,0.5515059,0.1576869,0.7531816,-0.07542916,0.08456329,-0.0592229,0.03326675,0.7382271,-0.6734984,-0.01772312,-0.08282192,0.01409573,0.06031326,0.03588774,0.7146069,-0.6984293,-0.01567798,-0.08577819,0.0005942855,0.1309773,0.03588774,0.7146069,-0.6984293,-0.01567798,0.1328681,0.2413774,-0.2434338,0.1441906,-0.5135594,0.7312532,0.4251289,0.4504135,0.2871804,0.01580025,0.5023794,0.06013815,-0.2721332,0.8184997,0.2413617,0.144183,-0.3109609,-0.2236258,0.8505422,-0.3759029,-0.292004,0.2971492,0.02084047,-0.2795983,-0.2937074,0.7186739,-0.5901129,-0.2213843,0.3460134,-0.0001873513,-0.2310743,-0.2937074,0.7186739,-0.5901129,-0.2213843,0.05279187,0.3262053,-0.2245586,0.249364,-0.2393319,0.9379116,0.02932057,0.06543314,0.3902754,-0.1930702,0.2436604,-0.3842477,0.8893088,0.0459723,0.08493713,0.4410606,-0.1451456,0.2324749,-0.5174461,0.8212523,0.0612358,0.1267037,0.4970075,-0.04458376,0.2324749,-0.5174461,0.8212523,0.0612358,0.113596,0.5258148,0.08941812,-0.07749677,-0.4021474,0.6483547,-0.6418008,-0.001368776,0.5068895,0.1436508,0.01539135,0.9311757,0.150072,0.3318938,0.01631337,0.269029,0.07145596,0.06076879,0.9452624,0.09333467,0.306717,0.0004987493,0.001426755,0.01280618,-0.05574456,0.8274019,-0.5035077,0.2424435,0.1927186,0.5854363,0.114362,0.0978996,-0.3237801,0.9404035,0.03498049,0.2056111,0.6640642,0.1744511,-0.04357789,-0.1072867,0.9932531,0.006258992,0.2324942,0.544637,0.02956454,0.4965054,-0.02479956,0.5686736,0.6553458,0.3314489,0.5626053,-0.05044393,-0.1186634,-0.6815583,-0.1150412,0.7128558,0.2502661,0.3270163,-0.04736234,0.03807757,-0.7466354,-0.05304607,0.6620213,0.2465954,0.0549464,-0.08293416,0.2068322,-0.7272433,0.4629979,0.4625704
0,0,0,0,6.657903E-08,0,0,1,0.06516124,0.2396664,-0.2060953,0.09226771,0.249236,-0.01238043,0.9639579,-0.00254561,0.2379553,-0.1687568,0.4560581,-0.4476987,0.6914802,-0.3367966,-0.02623102,0.3915065,0.2133378,0.3220154,0.5515059,0.1576869,0.7531816,-0.07542916,0.08456329,-0.0592229,0.03326675,0.7382271,-0.6734984,-0.01772312,-0.08282192,0.01409573,0.06031326,0.03588774,0.7146069,-0.6984293,-0.01567798,-0.08577819,0.0005942855,0.1309773,0.03588774,0.7146069,-0.6984293,-0.01567798,0.1328681,0.2413774,-0.2434338,0.1441906,-0.5135594,0.7312532,0.4251289,0.4504135,0.2871804,0.01580025,0.5023794,0.06013815,-0.2721332,0.8184997,0.2413617,0.144183,-0.3109609,-0.2236258,0.8505422,-0.3759029,-0.292004,0.2971492,0.02084047,-0.2795983,-0.2937074,0.7186739,-0.5901129,-0.2213843,0.3460134,-0.0001873513,-0.2310743,-0.2937074,0.7186739,-0.5901129,-0.2213843,0.05279187,0.3262053,-0.2245586,0.249364,-0.2393319,0.9379116,0.02932057,0.06543314,0.3902754,-0.1930702,0.2436604,-0.3842477,0.8893088,0.0459723,0.08493713,0.4410606,-0.1451456,0.2324749,-0.5174461,0.8212523,0.0612358,0.1267037,0.4970075,-0.04458376,0.2324749,-0.5174461,0.8212523,0.0612358,0.113596,0.5258148,0.08941812,-0.07749677,-0.4021474,0.6483547,-0.6418008,-0.001368776,0.5068895,0.1436508,0.01539135,0.9311757,0.150072,0.3318938,0.01631337,0.269029,0.07145596,0.06076879,0.9452624,0.09333467,0.306717,0.0004987493,0.001426755,0.01280618,-0.05574456,0.8274019,-0.5035077,0.2424435,0.1927186,0.5854363,0.114362,0.0978996,-0.3237801,0.9404035,0.03498049,0.2056111,0.6640642,0.1744511,-0.04357789,-0.1072867,0.9932531,0.006258992,0.2324942,0.544637,0.02956454,0.4965054,-0.02479956,0.5686736,0.6553458,0.3314489,0.5626053,-0.05044393,-0.1186634,-0.6815583,-0.1150412,0.7128558,0.2502661,0.3270163,-0.04736234,0.03807757,-0.7466354,-0.05304607,0.6620213,0.2465954,0.0549464,-0.08293416,0.2068322,-0.7272433,0.4629979,0.4625704
9.994507,0,0,0,6.657903E-08,0,0,1,0.06528375,0.8945478,-0.2062071,0.09204242,0.2496997,-0.01230977,0.9638604,-0.002387598,0.892828,-0.1688046,0.1458284,-0.6446454,0.2213694,-0.7170509,-0.05578276,0.538323,0.03518162,0.1019443,0.6528248,0.058501,0.7483347,-0.07520393,0.1363627,-0.05955219,0.03298032,0.7385375,-0.6731631,-0.01806063,-0.08249663,0.06578218,0.05992346,0.03775262,0.7359034,-0.6758937,-0.01373658,-0.08597735,0.04794238,0.1295945,0.03775262,0.7359034,-0.6758937,-0.01373658,0.1329551,0.8962675,-0.2436095,0.08245739,-0.522269,0.3081923,0.7908561,0.369551,0.5677577,-0.1646227,0.1877565,0.03628976,-0.1531848,0.9695179,0.2411085,0.2031045,-0.3110954,-0.2237213,0.8503189,-0.3761113,-0.2923133,0.2969346,0.07978944,-0.2796935,-0.2189504,0.8563078,-0.3622693,-0.2959036,0.3346056,0.02524338,-0.2515857,-0.2189504,0.8563078,-0.3622693,-0.2959036,0.0528684,0.9810758,-0.2246908,0.2498463,-0.2390967,0.9378415,0.02937556,0.06552508,1.045162,-0.1932408,0.2441505,-0.3840079,0.8892685,0.04615457,0.0850711,1.095971,-0.1453591,0.2329613,-0.5172073,0.821242,0.06153867,0.1269465,1.15197,-0.04487106,0.2329613,-0.5172073,0.821242,0.06153867,0.113989,1.180837,0.08913236,-0.07695165,-0.4019414,0.6489596,-0.6413836,-0.0009455979,1.162092,0.1434915,0.01531529,0.9314755,0.149956,0.3311081,0.01669166,0.9242131,0.07134666,0.06115401,0.9453009,0.09369762,0.3064102,0.0007211491,0.6566738,0.01245202,-0.05560797,0.8272632,-0.5036348,0.2426848,0.1931333,1.240479,0.113958,0.09853724,-0.3232452,0.940504,0.03543589,0.2061426,1.31917,0.1739397,-0.04284319,-0.1064631,0.9933696,0.006831434,0.2328164,1.199646,0.02913381,0.4965808,-0.02410854,0.5683542,0.6555913,0.3316654,1.21754,-0.05102167,-0.1188288,-0.6810732,-0.1148079,0.713329,0.250511,0.9819436,-0.04774624,0.03814963,-0.7463834,-0.05297032,0.6623071,0.2468837,0.7098725,-0.08331183,0.2070376,-0.7276335,0.4628805,0.4619815
20.00046,0,0,0,6.657903E-08,0,0,1,0.06499739,0.4035963,-0.2059615,0.09183452,0.2503049,-0.01199104,0.9637272,-0.002628341,0.4018282,-0.1684789,0.4144176,-0.5152252,0.5811894,-0.4743626,-0.05392037,0.4096844,0.2407186,0.325245,0.5751485,0.2263213,0.7156805,-0.07524636,0.1261993,-0.0594567,0.03293227,0.7387844,-0.672886,-0.01838003,-0.08250313,0.05553015,0.0599687,0.03773022,0.7361559,-0.675614,-0.01403459,-0.0859596,0.03763754,0.1296275,0.03773022,0.7361559,-0.675614,-0.01403459,0.1326231,0.4053643,-0.2434441,0.1601001,-0.5350149,0.6546178,0.509512,0.4784348,0.3675459,-0.0218153,0.4486943,0.093809,-0.2917883,0.8394837,0.2411534,0.1914671,-0.3109824,-0.2238228,0.8501097,-0.3763346,-0.2925563,0.2970221,0.06818236,-0.2795369,-0.2190587,0.8560893,-0.3625261,-0.2961407,0.3347216,0.01366398,-0.2514132,-0.2190587,0.8560893,-0.3625261,-0.2961407,0.05248874,0.4901102,-0.2244481,0.2504486,-0.2388861,0.9377388,0.02923701,0.06513937,0.5542119,-0.1930278,0.2447347,-0.3837991,0.8891956,0.04620363,0.08471636,0.6050439,-0.1451827,0.2335133,-0.5170029,0.8211968,0.06177021,0.1266958,0.6610871,-0.04476313,0.2335133,-0.5170029,0.8211968,0.06177021,0.1138901,0.6899953,0.08924623,-0.0766749,-0.4018811,0.6492285,-0.6411827,-0.001025543,0.6713288,0.1436725,0.01511331,0.9317464,0.1498401,0.3304062,0.01663189,0.4334294,0.07159989,0.06155906,0.9453311,0.09416141,0.3060938,0.0005118698,0.1659653,0.01240567,-0.0552498,0.8271837,-0.5036288,0.2430495,0.193047,0.7496678,0.1139578,0.09921373,-0.3231634,0.940457,0.03553724,0.2061171,0.8283675,0.1739144,-0.04208241,-0.106534,0.9933948,0.006798164,0.2326405,0.7088171,0.02909986,0.4966631,-0.02355517,0.5680217,0.6558374,0.3313993,0.7266351,-0.05118384,-0.1189801,-0.6806198,-0.1145396,0.7137796,0.25029,0.4910263,-0.04771096,0.03847841,-0.7462227,-0.05287141,0.6624771,0.246825,0.2189632,-0.08335453,0.2073645,-0.7286966,0.4624966,0.4605418
29.99878,0,0,0,6.657903E-08,0,0,1,0.06484381,0.4363369,-0.205839,0.09161156,0.2507552,-0.01183974,0.9636332,-0.00274758,0.4345484,-0.1682954,0.4041273,-0.5255588,0.5614472,-0.4952233,-0.05690459,0.4168467,0.2402249,0.3207609,0.5796775,0.230921,0.7125744,-0.07517269,0.1326959,-0.0595224,0.03279075,0.7390355,-0.6726106,-0.0186069,-0.08237632,0.06193604,0.05985256,0.03759691,0.7364131,-0.6753365,-0.01425565,-0.08580113,0.04398964,0.129499,0.03759691,0.7364131,-0.6753365,-0.01425565,0.1324352,0.4381255,-0.2433825,0.1606702,-0.538679,0.6386749,0.5254566,0.4806837,0.3834482,-0.02921278,0.4368626,0.0986444,-0.2919641,0.8450901,0.2410883,0.1987835,-0.3110227,-0.223966,0.8499123,-0.3765664,-0.2927217,0.2970119,0.07553483,-0.2795338,-0.2192108,0.8558812,-0.3627954,-0.2962995,0.3347437,0.02104795,-0.2513925,-0.2192108,0.8558812,-0.3627954,-0.2962995,0.05227681,0.5228388,-0.2243425,0.2509271,-0.2386363,0.9376746,0.02923753,0.06493472,0.5869578,-0.1929605,0.2452319,-0.3835281,0.8891672,0.04635958,0.08454966,0.6378179,-0.1451608,0.2340186,-0.5167196,0.8212082,0.06207517,0.1266383,0.6939235,-0.04482182,0.2340186,-0.5167196,0.8212082,0.06207517,0.1139855,0.7229044,0.08918633,-0.07593185,-0.4019819,0.6497425,-0.6406871,-0.0008572564,0.7043804,0.1438147,0.01493006,0.9320164,0.1497438,0.3296965,0.01681448,0.4664639,0.07180206,0.06193643,0.9453514,0.09462228,0.3058133,0.0005609915,0.1990729,0.01231373,-0.05516437,0.8271946,-0.503395,0.2435163,0.1931622,0.782603,0.1137717,0.09981623,-0.3230231,0.9404372,0.03564877,0.2062892,0.8613191,0.1736942,-0.04141725,-0.1065722,0.9934196,0.006711163,0.2326623,0.7417111,0.02889005,0.4969145,-0.02295239,0.5677712,0.6558852,0.3313103,0.7595202,-0.05153159,-0.1190886,-0.6802549,-0.114226,0.7141594,0.2502759,0.5238885,-0.04787046,0.03875297,-0.7462222,-0.05262804,0.6624811,0.2470118,0.2518229,-0.08351427,0.2077091,-0.7299107,0.4620814,0.4588775
39.9971,0,0,0,6.657903E-08,0,0,1,0.06463142,0.3426508,-0.2056799,0.09150682,0.2513032,-0.01153642,0.9635041,-0.002918512,0.3408132,-0.1680642,0.43847,-0.4877887,0.6316823,-0.4132596,-0.04182966,0.4161135,0.2356077,0.3324072,0.5648792,0.2038191,0.7272376,-0.07509948,0.1285486,-0.05955885,0.03272605,0.7391959,-0.6724331,-0.01876497,-0.08227493,0.05773097,0.05978348,0.03754119,0.736577,-0.6751574,-0.01440713,-0.08568227,0.0397502,0.129422,0.03754119,0.736577,-0.6751574,-0.01440713,0.1321813,0.3444885,-0.2432956,0.1541833,-0.5221311,0.696426,0.4675439,0.4672043,0.351733,-0.002791224,0.4766473,0.07716534,-0.2861028,0.827646,0.2410855,0.1943401,-0.3110467,-0.2240831,0.8497213,-0.3767764,-0.2929166,0.2970549,0.07112233,-0.2795183,-0.2193352,0.8556808,-0.3630385,-0.2964885,0.3348156,0.01666311,-0.251362,-0.2193352,0.8556808,-0.3630385,-0.2964885,0.05198113,0.4291432,-0.2241711,0.2514548,-0.2385058,0.9375699,0.02912732,0.06463712,0.4932721,-0.1928087,0.245727,-0.3833745,0.8890922,0.04644962,0.08428522,0.5441481,-0.1450395,0.2344709,-0.516548,0.8211656,0.06235952,0.1264778,0.6002886,-0.04476359,0.2344709,-0.516548,0.8211656,0.06235952,0.1139672,0.6293106,0.08924896,-0.07573091,-0.4020446,0.6498537,-0.6405587,-0.0008528978,0.6108159,0.1439349,0.01472368,0.9322683,0.1497499,0.3289894,0.0168611,0.3728973,0.07193974,0.06233076,0.9453665,0.09512067,0.305532,0.0004713982,0.1055852,0.01213556,-0.05496053,0.8270005,-0.5035089,0.2439856,0.1931659,0.6890229,0.1137302,0.1003293,-0.3229215,0.9404155,0.03570663,0.2063346,0.7677514,0.1736273,-0.04087725,-0.1065559,0.9934449,0.006539392,0.2325775,0.6481073,0.02881883,0.497135,-0.0221966,0.5675522,0.6559334,0.3311005,0.6659088,-0.05175769,-0.1190939,-0.6798407,-0.1139744,0.7145932,0.2501537,0.430249,-0.04796008,0.03892487,-0.7462508,-0.05238388,0.6624581,0.2470501,0.1581766,-0.08356663,0.207881,-0.7302943,0.4619018,0.4583702
49.99542,0,0,0,6.657903E-08,0,0,1,0.06445388,0.3269364,-0.205562,0.09150015,0.2518726,-0.01116776,0.9633604,-0.003053024,0.3250357,-0.1678723,0.4425384,-0.4822262,0.6412184,-0.4005706,-0.03889655,0.4133064,0.2334491,0.3327779,0.563058,0.1977828,0.7301416,-0.07499141,0.1239467,-0.05962442,0.03283666,0.7393071,-0.672299,-0.01900229,-0.08217831,0.05308964,0.05969387,0.0376846,0.7366904,-0.6750215,-0.01461552,-0.08558747,0.03508515,0.1293262,0.0376846,0.7366904,-0.6750215,-0.01461552,0.1319608,0.328837,-0.2432518,0.1524278,-0.5194344,0.7039251,0.4598296,0.4643012,0.3443004,0.000563727,0.4811903,0.07364764,-0.2840961,0.8260275,0.2410495,0.1895616,-0.3111065,-0.2242638,0.8495356,-0.3769751,-0.2930613,0.2970806,0.06637988,-0.2795468,-0.2195251,0.8554842,-0.3632737,-0.2966276,0.3348768,0.0119516,-0.2513784,-0.2195251,0.8554842,-0.3632737,-0.2966276,0.05171278,0.4134223,-0.2240209,0.2519755,-0.2384626,0.9374456,0.02897741,0.06436429,0.4775555,-0.1926654,0.2461868,-0.3832953,0.8889951,0.04652716,0.08404447,0.5284392,-0.1449177,0.2348615,-0.5164376,0.8211009,0.06265844,0.1263392,0.5845983,-0.04469537,0.2348615,-0.5164376,0.8211009,0.06265844,0.1139632,0.6136485,0.08932362,-0.07527648,-0.4022149,0.6501356,-0.6402193,-0.0008028746,0.5952303,0.1441485,0.01461289,0.9325169,0.1497807,0.3282759,0.01691257,0.3573147,0.07214385,0.06266951,0.9453599,0.09565085,0.3053175,0.0004249737,0.09008141,0.01201558,-0.05490276,0.8268437,-0.5034712,0.2446071,0.1931888,0.6733623,0.1137137,0.1009048,-0.3224707,0.9405028,0.03585622,0.2064142,0.7521467,0.1735248,-0.04017014,-0.1057558,0.9935592,0.006524602,0.2325142,0.6324276,0.02877172,0.4973593,-0.02155014,0.5673813,0.6559331,0.3309268,0.6502365,-0.05193784,-0.119153,-0.6789718,-0.1133149,0.7155137,0.2501945,0.4145091,-0.04779195,0.03911619,-0.7461435,-0.05229146,0.6625749,0.2471971,0.1424397,-0.0834297,0.2080111,-0.7311343,0.4613465,0.4575302
59.99756,0,0,0,6.657903E-08,0,0,1,0.06428733,0.2998301,-0.20547,0.09156623,0.2523782,-0.01073262,0.9632267,-0.003181621,0.2978547,-0.1677162,0.4495468,-0.4702428,0.6604491,-0.3749484,-0.03307607,0.4119333,0.2275402,0.3315842,0.5591747,0.1838654,0.7372715,-0.07486437,0.117538,-0.05970359,0.03301481,0.7392989,-0.6722921,-0.01925996,-0.08207772,0.04668426,0.05961504,0.03790192,0.7366817,-0.675014,-0.01483698,-0.08549578,0.0286812,0.1292472,0.03790192,0.7366817,-0.675014,-0.01483698,0.1317563,0.3018056,-0.2432238,0.1485211,-0.5147718,0.7181088,0.4441524,0.4579445,0.332938,0.007310137,0.4902175,0.0667164,-0.2791855,0.8229771,0.241018,0.1831672,-0.3111792,-0.224371,0.8493255,-0.3772238,-0.2932679,0.297096,0.06001968,-0.2795691,-0.2196406,0.8552641,-0.3635591,-0.2968273,0.3349215,0.005622212,-0.2513806,-0.2196406,0.8552641,-0.3635591,-0.2968273,0.05145115,0.3863116,-0.2238835,0.2524517,-0.2384942,0.9373155,0.0287818,0.06409314,0.4504443,-0.192523,0.2466222,-0.3832909,0.8888733,0.04658128,0.08380351,0.5013278,-0.1447875,0.2352473,-0.5163991,0.8209916,0.06295621,0.126203,0.5574874,-0.04460979,0.2352473,-0.5163991,0.8209916,0.06295621,0.1139632,0.5865444,0.08942026,-0.07519857,-0.4023181,0.6502366,-0.6400608,-0.000787057,0.5681569,0.1442887,0.01460602,0.9327579,0.1498496,0.3275589,0.01688757,0.3302515,0.07224041,0.06311492,0.9453472,0.09620145,0.3050918,0.0002495646,0.06310694,0.01176035,-0.05451941,0.8265676,-0.5036154,0.2453275,0.1932181,0.6462523,0.1137288,0.1014914,-0.3217188,0.9406886,0.03607905,0.2065092,0.7251301,0.1734019,-0.0394543,-0.1042476,0.9937465,0.006646106,0.2324553,0.6053106,0.02874934,0.4976071,-0.02102327,0.5673043,0.6558288,0.3307737,0.6231605,-0.0520659,-0.1189363,-0.6782289,-0.1133674,0.7162457,0.2500988,0.3874134,-0.0479297,0.03927184,-0.7458382,-0.05234141,0.6629058,0.2471309,0.1153537,-0.08364289,0.2082476,-0.7312007,0.4612569,0.4574069
70.00351,0,0,0,6.657903E-08,0,0,1,0.06414932,0.2866784,-0.2054157,0.09170734,0.2528937,-0.01034344,0.9630823,-0.00328061,0.284632,-0.167596,0.4518916,-0.4662074,0.6666944,-0.3660099,-0.0307855,0.4072916,0.2252568,0.3310267,0.5580186,0.178823,0.7396345,-0.07472259,0.1110829,-0.05979362,0.03315915,0.7392374,-0.6723468,-0.01945721,-0.08195759,0.04025122,0.05953682,0.03807677,0.7366185,-0.6750692,-0.01500535,-0.08538321,0.02226089,0.1291719,0.03807677,0.7366185,-0.6750692,-0.01500535,0.1315793,0.2887249,-0.2432353,0.1470218,-0.5128694,0.722769,0.4392658,0.455694,0.3250314,0.009285374,0.4927197,0.06428444,-0.277432,0.822269,0.2409783,0.1764883,-0.3112702,-0.2244515,0.8490963,-0.3774793,-0.2935411,0.297096,0.05337269,-0.2796067,-0.2197277,0.8550251,-0.3638504,-0.2970934,0.3349493,-0.0009950958,-0.2513982,-0.2197277,0.8550251,-0.3638504,-0.2970934,0.05122833,0.3731593,-0.2237727,0.2529514,-0.2386081,0.9371576,0.02858848,0.06386486,0.4372858,-0.1923972,0.2470942,-0.3833743,0.8887057,0.04659293,0.08360483,0.4881598,-0.1446639,0.2356813,-0.5164508,0.8208182,0.06316849,0.1261022,0.5442998,-0.04451661,0.2356813,-0.5164508,0.8208182,0.06316849,0.1139957,0.5733268,0.08953203,-0.07500201,-0.4027748,0.650274,-0.6397584,-0.0006985664,0.5549444,0.1445189,0.01464708,0.9329879,0.1499425,0.3268582,0.01691813,0.3170534,0.07240857,0.06363279,0.9453222,0.09678445,0.3048764,9.854883E-05,0.05000657,0.01154808,-0.05406564,0.8262812,-0.5037172,0.2461819,0.193272,0.6330338,0.1137739,0.1020108,-0.3211032,0.9408347,0.03628308,0.2066233,0.7119877,0.1733329,-0.03891828,-0.1029073,0.9939059,0.006815943,0.2324257,0.5921127,0.02874595,0.4978378,-0.0206042,0.5673576,0.6556203,0.3306704,0.6100373,-0.05214233,-0.1188466,-0.677317,-0.113516,0.7170992,0.2499785,0.3742964,-0.04798624,0.03926754,-0.7457433,-0.05247991,0.6630014,0.2469538,0.1022444,-0.08375391,0.2083296,-0.7313682,0.4612381,0.4571202
