Root,Root,Root,Root,Hips,Hips,Hips,Hips,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftShin,LeftShin,LeftShin,LeftShin,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftToe,LeftToe,LeftToe,LeftToe,RightThigh,RightThigh,RightThigh,RightThigh,RightShin,RightShin,RightShin,RightShin,RightFoot,RightFoot,RightFoot,RightFoot,RightToe,RightToe,RightToe,RightToe,Spine1,Spine1,Spine1,Spine1,Spine2,Spine2,Spine2,Spine2,Spine3,Spine3,Spine3,Spine3,Spine4,Spine4,Spine4,Spine4,LeftShoulder,LeftShoulder,LeftShoulder,LeftShoulder,LeftArm,LeftArm,LeftArm,LeftArm,LeftForeArm,LeftForeArm,LeftForeArm,LeftForeArm,LeftHand,LeftHand,LeftHand,LeftHand,Neck,Neck,Neck,Neck,Head,Head,Head,Head,RightShoulder,RightShoulder,RightShoulder,RightShoulder,RightArm,RightArm,RightArm,RightArm,RightForeArm,RightForeArm,RightForeArm,RightForeArm,RightHand,RightHand,RightHand,RightHand
1,0,0,0,1,0,0,0,1,0,0,0,1.07E-06,-5.05E-29,-1,0,1.07E-06,2.38E-06,-1,0,-1,-2.13E-06,-2.38E-06,0,1,0,0,0,9.32E-07,0,1,0,9.32E-07,0,1,0,-1,9.32E-07,2.07E-22,0,1,0,0,0,-1,-1.22E-16,2.35E-38,0,-1,-1.22E-16,2.35E-38,0,-1,-1.22E-16,2.35E-38,0,-1,-1.22E-16,2.35E-38,0,3.45E-16,-1,1.18E-22,0,6.68E-22,-1,-3.45E-16,0,-1.43E-06,-1,-4.77E-07,0,-1,-1.22E-16,2.35E-38,0,-1,-1.22E-16,2.35E-38,0,-1,-1.22E-16,2.35E-38,0,9.32E-07,1,-8.66E-07,0,8.66E-07,1,2.17E-07,0,8.66E-07,1,2.17E-07,0
1,0,0,0,1,0,0,0,0.999960643,0.00782906,-0.004173552,0,-0.00738432,0.015554598,-0.999851752,0,-0.009380388,0.014438826,-0.999851753,0,-0.994042057,-0.108976512,-0.002123544,0,0.999960643,0.00782906,-0.004173552,0,-0.04791297,-0.008404461,0.998816155,0,-0.048825371,-0.00163246,0.998805996,0,-0.997258165,0.072850076,-0.013000701,0,0.999960643,0.00782906,-0.004173552,0,-0.999964307,-0.004056621,-0.007411386,0,-0.999942979,-0.000305809,-0.010674487,0,-0.999896484,0.003434009,-0.013972409,0,-0.999896484,0.003434009,-0.013972409,0,0.011153918,-0.974932816,0.2222197,0,0.164101235,-0.031542857,-0.985939061,0,-0.026559076,-0.02719686,-0.999277212,0,-0.999896484,0.003434009,-0.013972409,0,-0.998740218,0.022500617,-0.044851979,0,-0.999896484,0.003434009,-0.013972409,0,0.027776115,0.962186081,-0.270973121,0,0.23160819,0.052751445,0.971377852,0,0.23160819,0.052751445,0.971377852,0
1,0,0,0,1,0,0,0,0.999960643,0.00782906,-0.004173552,0,-0.00738432,0.015554598,-0.999851752,0,-0.009380388,0.014438826,-0.999851753,0,-0.994042057,-0.108976512,-0.002123544,0,0.999960643,0.00782906,-0.004173552,0,-0.04791297,-0.008404461,0.998816155,0,-0.048825371,-0.00163246,0.998805996,0,-0.997258165,0.072850076,-0.013000701,0,0.999960643,0.00782906,-0.004173552,0,-0.999964307,-0.004056621,-0.007411386,0,-0.999942979,-0.000305809,-0.010674487,0,-0.999896484,0.003434009,-0.013972409,0,-0.999896484,0.003434009,-0.013972409,0,0.011153918,-0.974932816,0.2222197,0,0.164101235,-0.031542857,-0.985939061,0,-0.026559076,-0.02719686,-0.999277212,0,-0.999896484,0.003434009,-0.013972409,0,-0.998740218,0.022500617,-0.044851979,0,-0.999896484,0.003434009,-0.013972409,0,0.027776115,0.962186081,-0.270973121,0,0.23160819,0.052751445,0.971377852,0,0.23160819,0.052751445,0.971377852,0
1,0,0,0,1,0,0,0,0.999960643,0.00782906,-0.004173552,0,-0.00738432,0.015554598,-0.999851752,0,-0.009380388,0.014438826,-0.999851753,0,-0.994042057,-0.108976512,-0.002123544,0,0.999960643,0.00782906,-0.004173552,0,-0.04791297,-0.008404461,0.998816155,0,-0.048825371,-0.00163246,0.998805996,0,-0.997258165,0.072850076,-0.013000701,0,0.999960643,0.00782906,-0.004173552,0,-0.999964307,-0.004056621,-0.007411386,0,-0.999942979,-0.000305809,-0.010674487,0,-0.999896484,0.003434009,-0.013972409,0,-0.999896484,0.003434009,-0.013972409,0,0.011153918,-0.974932816,0.2222197,0,0.164101235,-0.031542857,-0.985939061,0,-0.026559076,-0.02719686,-0.999277212,0,-0.999896484,0.003434009,-0.013972409,0,-0.998740218,0.022500617,-0.044851979,0,-0.999896484,0.003434009,-0.013972409,0,0.027776115,0.962186081,-0.270973121,0,0.23160819,0.052751445,0.971377852,0,0.23160819,0.052751445,0.971377852,0
1,0,0,0,1,0,0,0,0.999953305,0.007586434,-0.005986174,0,-0.009453272,0.017585801,-0.999800668,0,-0.011529126,0.016300843,-0.999800661,0,-0.99413939,-0.108065904,-0.002938379,0,0.999953305,0.007586434,-0.005986174,0,-0.045039311,-0.005623721,0.998969386,0,-0.045741961,0.000301493,0.998953243,0,-0.99734538,0.071976942,-0.011023328,0,0.999953305,0.007586434,-0.005986174,0,-0.999952591,-0.003754915,-0.00898418,0,-0.999927909,5.71E-05,-0.012007211,0,-0.999879079,0.003860442,-0.015064025,0,-0.999879079,0.003860442,-0.015064025,0,0.0110199,-0.975154033,0.221253639,0,0.164116265,-0.03088577,-0.985957363,0,-0.027833238,-0.026305934,-0.999266385,0,-0.999879079,0.003860442,-0.015064025,0,-0.998639385,0.023956404,-0.046319209,0,-0.999879079,0.003860442,-0.015064025,0,0.028652969,0.962013287,-0.27149483,0,0.230346163,0.052830703,0.971673588,0,0.230346163,0.052830703,0.971673588,0
1,0,0,0,1,0,0,0,0.999940129,0.00784052,-0.007633155,0,-0.010956759,0.018637847,-0.999766263,0,-0.013084893,0.017211517,-0.999766247,0,-0.994192815,-0.10757514,-0.002869944,0,0.999940129,0.00784052,-0.007633155,0,-0.043731595,-0.004383938,0.999033697,0,-0.044415086,0.001342708,0.999012261,0,-0.997398751,0.071302753,-0.010566432,0,0.999940129,0.00784052,-0.007633155,0,-0.999935768,-0.003783529,-0.010683845,0,-0.99990528,0.000253702,-0.013761032,0,-0.99984846,0.004282628,-0.016873558,0,-0.99984846,0.004282628,-0.016873558,0,0.011149965,-0.975444633,0.219962372,0,0.163348939,-0.030637086,-0.986092538,0,-0.029282124,-0.025869238,-0.999236378,0,-0.99984846,0.004282628,-0.016873558,0,-0.998553676,0.024423132,-0.047896411,0,-0.99984846,0.004282628,-0.016873558,0,0.028407237,0.961828725,-0.272173719,0,0.230365991,0.052290811,0.971698092,0,0.230365991,0.052290811,0.971698092,0
1,0,0,0,1,0,0,0,0.999919063,0.007814073,-0.010040313,0,-0.012812418,0.018766445,-0.999741798,0,-0.014859707,0.017191705,-0.999741784,0,-0.994235664,-0.107196997,-0.002061292,0,0.999919063,0.007814073,-0.010040313,0,-0.041031774,-0.004062293,0.999149584,0,-0.04176429,0.001204486,0.999126765,0,-0.997404379,0.071371162,-0.009521684,0,0.999919063,0.007814073,-0.010040313,0,-0.999909479,-0.003738012,-0.012925228,0,-0.999874552,0.000319995,-0.015835976,0,-0.999814066,0.004371362,-0.018780983,0,-0.999814066,0.004371362,-0.018780983,0,0.010335928,-0.976022351,0.217424791,0,0.160684958,-0.030343517,-0.986539211,0,-0.031311277,-0.025021381,-0.999196444,0,-0.999814066,0.004371362,-0.018780983,0,-0.998447154,0.024245632,-0.050154071,0,-0.999814066,0.004371362,-0.018780983,0,0.027643552,0.961371277,-0.273863291,0,0.23103783,0.053238262,0.971487112,0,0.23103783,0.053238262,0.971487112,0
1,0,0,0,1,0,0,0,0.999899887,0.009142669,-0.010799389,0,-0.014014747,0.018970134,-0.999721822,0,-0.016124529,0.017212784,-0.999721821,0,-0.994218762,-0.107349076,-0.002286612,0,0.999899887,0.009142669,-0.010799389,0,-0.040187312,-0.003645399,0.999185514,0,-0.040557545,0.001200284,0.999176483,0,-0.997418272,0.071212385,-0.009251324,0,0.999899887,0.009142669,-0.010799389,0,-0.999893123,-0.004618821,-0.013871173,0,-0.999855992,-0.000113607,-0.01697006,0,-0.999788247,0.004385916,-0.020105341,0,-0.999788247,0.004385916,-0.020105341,0,0.010154096,-0.976343448,0.215986958,0,0.158106377,-0.029621805,-0.986977671,0,-0.033772971,-0.024997952,-0.999116854,0,-0.999788247,0.004385916,-0.020105341,0,-0.998369631,0.023951792,-0.051811118,0,-0.999788247,0.004385916,-0.020105341,0,0.027967703,0.960889599,-0.275515854,0,0.233109551,0.053274077,0.970990118,0,0.233109551,0.053274077,0.970990118,0
1,0,0,0,1,0,0,0,0.999885085,0.009369843,-0.011917355,0,-0.014923742,0.01982181,-0.999692142,0,-0.017132451,0.017947273,-0.99969214,0,-0.994236675,-0.107163198,-0.003079384,0,0.999885085,0.009369843,-0.011917355,0,-0.038670008,-0.002600536,0.999248652,0,-0.038870008,0.002015155,0.999242244,0,-0.997465747,0.070493873,-0.009627948,0,0.999885085,0.009369843,-0.011917355,0,-0.999873282,-0.00498316,-0.015119115,0,-0.999831509,-0.000614794,-0.01834601,0,-0.999759508,0.003747748,-0.021607409,0,-0.999759508,0.003747748,-0.021607409,0,0.009543536,-0.976707357,0.21436338,0,0.155736555,-0.029330733,-0.987363071,0,-0.035409555,-0.024634713,-0.999069214,0,-0.999759508,0.003747748,-0.021607409,0,-0.998325448,0.023305838,-0.052944669,0,-0.999759508,0.003747748,-0.021607409,0,0.028205762,0.960513729,-0.276799227,0,0.235056546,0.053059466,0.970532386,0,0.235056546,0.053059466,0.970532386,0
1,0,0,0,1,0,0,0,0.999863252,0.007471627,-0.014753049,0,-0.017064348,0.020612181,-0.999641909,0,-0.019279984,0.018556733,-0.999641901,0,-0.994320692,-0.106367,-0.003524472,0,0.999863252,0.007471627,-0.014753049,0,-0.036445666,-0.001793316,0.999334027,0,-0.036687012,0.002820047,0.999322826,0,-0.997465871,0.070647954,-0.008408449,0,0.999863252,0.007471627,-0.014753049,0,-0.999838483,-0.004101357,-0.017498167,0,-0.999794453,-0.000745365,-0.020260704,0,-0.999730944,0.002606009,-0.023048844,0,-0.999730944,0.002606009,-0.023048844,0,0.009428664,-0.977069806,0.212710355,0,0.153943243,-0.029822879,-0.987629523,0,-0.036789316,-0.024495366,-0.999022784,0,-0.999730944,0.002606009,-0.023048844,0,-0.998252153,0.023130594,-0.054383953,0,-0.999730944,0.002606009,-0.023048844,0,0.0279451,0.960147153,-0.278094436,0,0.23609139,0.052687197,0.970301456,0,0.23609139,0.052687197,0.970301456,0
